"feature"	"current"	"need"	"diff"
"Conflicts table"	10	62.96	52.96
"Tags"	35.48	72.41	36.93
"Feedback"	60	89.29	29.29
"Wiki"	46.67	79.31	32.64
"Commit messages"	66.67	93.1	26.44
"Annotations"	41.94	74.19	32.26
"Sticky notes"	20	57.14	37.14
"Voting"	13.33	50	36.67
"Comments"	70.97	90.32	19.35
"Forum"	20	51.72	31.72
"Call-For-Attention"	21.43	51.85	30.42
"Proposals"	25	51.85	26.85
"Reviews"	70.97	86.67	15.7
"Integrated professional-social networking"	23.33	48	24.67
"Multimedia annotations"	16.67	38.46	21.79
"Email"	83.87	87.1	3.23
