"feature"	"current"	"need"	"diff"
"Conflicts table"	7.69	55.56	47.86
"Wiki"	45	76.32	31.32
"Tags"	35	66.67	31.67
"Feedback"	66.67	89.47	22.81
"Annotations"	46.34	73.17	26.83
"Commit messages"	70	89.74	19.74
"Sticky notes"	17.5	50	32.5
"Call-For-Attention"	18.92	50	31.08
"Voting"	10.26	44.74	34.48
"Proposals"	29.73	56.76	27.03
"Comments"	75.61	90.24	14.63
"Forum"	15	43.59	28.59
"Reviews"	73.17	85	11.83
"Integrated professional-social networking"	20	37.14	17.14
"Multimedia annotations"	12.5	31.43	18.93
"Email"	87.8	82.93	-4.88
